L1,L2,L3,AIC,MAE,RMSE,R2,TTP
256,0,64,-31809.36451,0.200849777,0.312288686,0.599072023,6
256,0,64,-31772.24177,0.201082441,0.312712974,0.597981848,6
256,0,128,-31981.71408,0.20397468,0.310326373,0.604094773,6
256,0,128,-31944.02464,0.201185083,0.310754436,0.6030018,6
256,0,192,-31959.8409,0.201706371,0.310574729,0.60346083,6
256,0,192,-32067.90281,0.200996263,0.309349688,0.606582904,6
256,0,256,-32057.6314,0.203075079,0.309465922,0.606287207,6
256,0,256,-32196.1434,0.200754711,0.307902161,0.610256091,6
256,64,0,-32022.12051,0.200743111,0.309868107,0.605263195,6
256,64,0,-31537.21967,0.200581315,0.315412529,0.59101089,6
200,256,256,-31942.88612,0.20036143,0.310767376,0.602968737,13107206
88,256,64,-31923.22641,0.200733759,0.310990908,0.602397371,1441798
88,128,192,-31920.84923,0.201414449,0.311017947,0.602328228,2162694
144,64,64,-31918.54991,0.201066626,0.311044103,0.602261338,589830
144,256,128,-31915.02755,0.200524981,0.311084176,0.602158847,4718598
144,64,256,-31913.08207,0.200948223,0.311106312,0.602102228,2359302
256,64,192,-31912.55307,0.200883824,0.311112331,0.60208683,3145734
144,64,128,-31909.30447,0.20005568,0.311149298,0.601992264,1179654
256,128,0,-32129.14051,0.201474727,0.308657615,0.60834123,6
256,128,0,-31552.03095,0.202249927,0.315241715,0.591453753,6
200,192,64,-31907.00288,0.200328994,0.311175491,0.601925252,2457606
88,256,64,-31902.62732,0.201015828,0.311225292,0.601797823,1441798
200,256,192,-31900.17564,0.200474338,0.3112532,0.601726405,9830406
144,256,192,-31894.16608,0.2010937,0.311321619,0.601551292,7077894
144,192,192,-31891.82687,0.200886724,0.311348255,0.601483108,5308422
144,192,256,-31887.90249,0.201047977,0.311392945,0.601368694,7077894
144,64,192,-31887.39207,0.202294314,0.311398759,0.601353811,1769478
32,192,256,-31886.94372,0.201728096,0.311403865,0.601340737,1572870
256,192,0,-32148.15716,0.201158384,0.308443015,0.608885657,6
256,192,0,-32174.53233,0.200975695,0.308145622,0.609639498,6
144,192,64,-31885.10478,0.200783601,0.31142481,0.601287108,1769478
32,64,64,-31878.9137,0.200876637,0.311495334,0.601106505,131078
32,256,64,-31876.62085,0.201921351,0.311521456,0.601039598,524294
256,64,64,-31876.33422,0.200605214,0.311524722,0.601031234,1048582
88,256,128,-31874.07157,0.2018449,0.311550503,0.600965196,2883590
32,192,64,-31872.60279,0.200463237,0.31156724,0.600922322,393222
144,256,64,-31866.43484,0.201479336,0.311637533,0.60074223,2359302
256,64,256,-31862.20499,0.20046708,0.311685747,0.600618679,4194310
256,256,0,-31936.70416,0.200490455,0.310837648,0.602789161,6
256,256,0,-32197.2779,0.201227784,0.307889385,0.610288433,6
88,128,192,-31852.29905,0.201324095,0.311798691,0.600329184,2162694
88,64,256,-31848.68749,0.201280715,0.311839878,0.600223587,1441798
32,128,256,-31838.33944,0.2009683,0.311957922,0.599920867,1048582
256,128,192,-31791.68164,0.201869907,0.312490717,0.598553103,6291462
256,192,192,-31780.89147,0.200516706,0.312614062,0.598236127,9437190
200,192,64,-31769.51601,0.200795869,0.31274415,0.597901685,2457606
144,192,128,-31764.11871,0.200648904,0.312805892,0.597742905,3538950
256,64,128,-31627.09243,0.200626137,0.314377474,0.593690755,2097158
